Number,Description,References,Phase,Votes,Comments
11,Cross-site scripting (XSS) vulnerability in the Adobe Flex SDK 3.x and 4.x before 4.6 allows remote attackers to inject arbitrary web script or HTML via vectors related to the loading of modules from different domains.,MISC:http://packetstormsecurity.com/files/131376/Magento-eCommerce-Vulnerable-Adobe-Flex-SDK.html   |   CONFIRM:http://kb2.adobe.com/cps/915/cpsid_91544.html   |   CONFIRM:http://www.adobe.com/support/security/bulletins/apsb11-25.html   |   SECUNIA:47053   |   URL:http://secunia.com/advisories/47053,Assigned (20110606),None (candidate not yet proposed),
12,"IBM Flex System Chassis Management Module (CMM) and Integrated Management Module 2 (IMM2) allow local users to obtain sensitive information about (1) local accounts, (2) SSH private keys, (3) SSL/TLS private keys, (4) SNMPv3 communities, and (5) LDAP credentials by leveraging unspecified side effects of service or maintenance activity.",CONFIRM:https://www-947.ibm.com/support/entry/myportal/docdisplay?lndocid=MIGR-5092001   |   CONFIRM:https://www.ibm.com/connections/blogs/PSIRT/entry/flex_system_chassis_management_module_cmm_and_integrated_management_module_2_imm2_potential_security_vulnerability_with_authentication_data_cve_2012_4838_ibm_flex_system8   |   XF:ibm-flex-snmp-info-disc(79020)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/79020,Assigned (20120906),None (candidate not yet proposed),
13,"The Flex-VPN load-balancing feature in the ipsec-ikev2 implementation in Cisco IOS before 15.1(1)SY3 does not require authentication, which allows remote attackers to trigger the forwarding of VPN traffic to an attacker-controlled destination, or the discarding of this traffic, by arranging for an arbitrary device to become a cluster member, aka Bug ID CSCub93641.",CONFIRM:http://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/15-1SY/release_notes.pdf,Assigned (20120921),None (candidate not yet proposed),
14,"Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allow remote attackers to cause a denial of service (control and communication outage) via a CIP message that specifies a logic-execution stop and fault.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
15,"Buffer overflow in Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allows remote attackers to cause a denial of service (CPU crash and communication outage) via a malformed CIP packet.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
16,"Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 do not properly perform authentication for Ethernet firmware updates, which allows remote attackers to execute arbitrary code via a Trojan horse update image.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
17,"Buffer overflow in Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allows remote attackers to cause a denial of service (NIC crash and communication outage) via a malformed CIP packet.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
18,"Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allow remote attackers to cause a denial of service (control and communication outage) via a CIP message that modifies the (1) configuration or (2) network parameters.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
19,"The web-server password-authentication functionality in Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allows man-in-the-middle attackers to conduct replay attacks via HTTP traffic.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
20,"Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allow remote attackers to obtain sensitive information via a crafted CIP packet.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
21,"Rockwell Automation EtherNet/IP products; 1756-ENBT, 1756-EWEB, 1768-ENBT, and 1768-EWEB communication modules; CompactLogix L32E and L35E controllers; 1788-ENBT FLEXLogix adapter; 1794-AENTR FLEX I/O EtherNet/IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allow remote attackers to cause a denial of service (control and communication outage) via a CIP message that specifies a reset.",MISC:http://www.us-cert.gov/control_systems/pdf/ICSA-13-011-03.pdf,Assigned (20121226),None (candidate not yet proposed),
22,"Heap-based buffer overflow in Xper in Philips Xper Information Management Physiomonitoring 5 components, Xper Information Management Vascular Monitoring 5 components, and Xper Information Management servers and workstations for Flex Cardio products before XperConnect 1.5.4.053 SP2 allows remote attackers to execute arbitrary code via a crafted HTTP request to the Connect broker on TCP port 6000.",MISC:http://ics-cert.us-cert.gov/advisories/ICSA-13-277-01,Assigned (20130411),None (candidate not yet proposed),
23,"Integrated Management Module (IMM) 2 1.00 through 2.00 on IBM System X and Flex System servers supports SSL cipher suites with short keys, which makes it easier for remote attackers to defeat cryptographic protection mechanisms via a brute-force attack against (1) SSL or (2) TLS traffic.",CONFIRM:http://www.ibm.com/connections/blogs/PSIRT/entry/security_bulletin_avoiding_weak_ssl_tls_encryption_in_ibm_system_x_and_flex_systems_cve_2013_40301   |   XF:x-mgmt-cve20134030-encryption(86068)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/86068,Assigned (20130607),None (candidate not yet proposed),
24,"The Intelligent Platform Management Interface (IPMI) implementation in Integrated Management Module (IMM) and Integrated Management Module II (IMM2) on IBM BladeCenter, Flex System, System x iDataPlex, and System x3### servers has a default password for the IPMI user account, which makes it easier for remote attackers to perform power-on, power-off, or reboot actions, or add or modify accounts, via unspecified vectors.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5093463   |   XF:imm-cve20134031-ipmi-default(86172)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/86172,Assigned (20130607),None (candidate not yet proposed),
25,"The RAKP protocol support in the Intelligent Platform Management Interface (IPMI) implementation in Integrated Management Module (IMM) and Integrated Management Module II (IMM2) on IBM BladeCenter, Flex System, System x iDataPlex, and System x3### servers sends a password hash to the client, which makes it easier for remote attackers to obtain access via a brute-force attack.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5093463   |   XF:imm-cve20134037-ipmi-weak(86173)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/86173,Assigned (20130607),None (candidate not yet proposed),
26,"The Intelligent Platform Management Interface (IPMI) implementation in Integrated Management Module (IMM) on IBM BladeCenter, Flex System, System x iDataPlex, and System x3### servers uses cleartext for password storage, which allows context-dependent attackers to obtain sensitive information by reading a file.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5093463   |   XF:imm-cve20134038-ipmi-cleartext(86174)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/86174,Assigned (20130607),None (candidate not yet proposed),
27,IBM Flex System Manager (FSM) 1.1 through 1.3 before 1.3.2.0 allows remote attackers to enumerate user accounts via unspecified vectors.,CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=migr-5095891   |   AIXAPAR:IT00278   |   URL:http://www-01.ibm.com/support/docview.wss?uid=swg1IT00278   |   BID:68370   |   URL:http://www.securityfocus.com/bid/68370   |   SECUNIA:58948   |   URL:http://secunia.com/advisories/58948   |   XF:ibm-fsm-cve20135423-enumeration(87485)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/87485,Assigned (20130822),None (candidate not yet proposed),
28,"IBM Flex System Manager (FSM) 1.3.0 allows remote attackers to bypass intended access restrictions, and create new user accounts or execute tasks, by leveraging an expired password for the system-level account.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5093938   |   AIXAPAR:IC96952   |   URL:http://www-01.ibm.com/support/docview.wss?uid=swg1IC96952   |   XF:fsm-cve20135424-expired-pw(87486)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/87486,Assigned (20130822),None (candidate not yet proposed),
29,Cross-site scripting (XSS) vulnerability in the web server in IBM Flex System Manager (FSM) 1.1.0 through 1.3 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,CONFIRM:http://www.ibm.com/connections/blogs/PSIRT/entry/security_bulletin_flex_system_manager_web_server_allows_generic_xss_cve_2013_5438   |   CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5094212   |   XF:ibm-fsm-cve20135438-xss(87753)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/87753,Assigned (20130822),None (candidate not yet proposed),
30,"IBM SAN Volume Controller; Storwize V3500, V3700, V5000, and V7000; and Flex System V7000 with software 6.3 and 6.4 before 6.4.1.8, and 7.1 and 7.2 before 7.2.0.3, allow remote attackers to obtain CLI access, and consequently cause a denial of service, via unspecified traffic to the administrative IP address.",CONFIRM:http://www-01.ibm.com/support/docview.wss?uid=ssg1S1004570   |   XF:ibm-storwize-cve20140880-cli(91145)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/91145,Assigned (20140106),None (candidate not yet proposed),
31,"The Configuration Patterns component in IBM Flex System Manager (FSM) 1.2.0.x, 1.2.1.x, 1.3.0.x, and 1.3.1.x uses a weak algorithm in an encryption step during Chassis Management Module (CMM) account creation, which makes it easier for remote authenticated users to defeat cryptographic protection mechanisms via unspecified vectors.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5096153   |   AIXAPAR:IT03824   |   URL:http://www-01.ibm.com/support/docview.wss?uid=swg1IT03824   |   XF:ibm-flex-cve20140897-weak-encryption(91395)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/91395,Assigned (20140106),None (candidate not yet proposed),
32,"IBM System Networking G8052, G8124, G8124-E, G8124-ER, G8264, G8316, and G8264-T switches before 7.9.10.0; EN4093, EN4093R, CN4093, SI4093, EN2092, and G8264CS switches before 7.8.6.0; Flex System Interconnect Fabric before 7.8.6.0; 1G L2-7 SLB switch for Bladecenter before 21.0.21.0; 10G VFSM for Bladecenter before 7.8.14.0; 1:10G switch for Bladecenter before 7.4.8.0; 1G switch for Bladecenter before 5.3.5.0; Server Connectivity Module before 1.1.3.4; System Networking RackSwitch G8332 before 7.7.17.0; and System Networking RackSwitch G8000 before 7.1.7.0 have hardcoded credentials, which makes it easier for remote attackers to obtain access via unspecified vectors.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5096232   |   SECUNIA:54512   |   URL:http://secunia.com/advisories/54512,Assigned (20140709),None (candidate not yet proposed),
33,"IBM Unified Extensible Firmware Interface (UEFI) on Flex System x880 X6, System x3850 X6, and System x3950 X6 devices allows remote authenticated users to cause an unspecified temporary denial of service by using privileged access to enable a legacy boot mode.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5098278,Assigned (20140709),None (candidate not yet proposed),
34,"IBM Flex System Manager (FSM) 1.1.x.x, 1.2.0.x, 1.2.1.x, 1.3.0.0, 1.3.1.0, and 1.3.2.0 allows local users to obtain sensitive information, and consequently gain privileges or conduct impersonation attacks, via unspecified vectors.",CONFIRM:http://www.ibm.com/support/entry/portal/docdisplay?lndocid=MIGR-5097120   |   AIXAPAR:IT05310   |   URL:http://www-01.ibm.com/support/docview.wss?uid=swg1IT05310   |   XF:ibm-fsm-cve20146147-sec-bypass(96917)   |   URL:http://xforce.iss.net/xforce/xfdb/96917,Assigned (20140902),None (candidate not yet proposed),
35,"CRLF injection vulnerability in IBM Flex System EN6131 40Gb Ethernet and IB6131 40Gb Infiniband Switch firmware before 3.4.1110 allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks and resulting web cache poisoning or cross-site scripting (XSS) attacks, or obtain sensitive information via multiple unspecified parameters.",CONFIRM:https://www.ibm.com/support/home/docdisplay?lndocid=MIGR-5098173   |   BID:74931   |   URL:http://www.securityfocus.com/bid/74931,Assigned (20150107),None (candidate not yet proposed),
36,Cross-site scripting (XSS) vulnerability in asdoc/templates/index.html in Apache Flex before 4.14.1 allows remote attackers to inject arbitrary web script or HTML by providing a crafted URI to JavaScript code generated by the asdoc component.,BUGTRAQ:20150407 CVE-2015-1773 Apache Flex reflected XSS vulnerability   |   URL:http://seclists.org/bugtraq/2015/Apr/42   |   CONFIRM:https://helpx.adobe.com/security/products/flex/apsb15-08.html   |   BID:73954   |   URL:http://www.securityfocus.com/bid/73954   |   SECTRACK:1032107   |   URL:http://www.securitytracker.com/id/1032107,Assigned (20150217),None (candidate not yet proposed),
37,"Apache Flex BlazeDS, as used in flex-messaging-core.jar in Adobe LiveCycle Data Services (LCDS) 3.0.x before 3.0.0.354170, 4.5 before 4.5.1.354169, 4.6.2 before 4.6.2.354169, and 4.7 before 4.7.0.354169 and other products, allows remote attackers to read arbitrary files via an AMF message containing an XML external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue.",BUGTRAQ:20150819 CVE-2015-3269 Apache Flex BlazeDS Insecure Xml Entity Expansion Vulnerability   |   URL:http://www.securityfocus.com/archive/1/archive/1/536266/100/0/threaded   |   CONFIRM:https://helpx.adobe.com/security/products/livecycleds/apsb15-20.html   |   CONFIRM:https://h20566.www2.hpe.com/portal/site/hpsc/public/kb/docDisplay?docId=emr_na-c05026202   |   CONFIRM:http://www.vmware.com/security/advisories/VMSA-2015-0008.html   |   CONFIRM:https://helpx.adobe.com/content/help/en/security/products/coldfusion/apsb15-21.html   |   HP:HPSBGN03550   |   URL:http://marc.info/?l=bugtraq&m=145706712500978&w=2   |   BID:76394   |   URL:http://www.securityfocus.com/bid/76394   |   SECTRACK:1033337   |   URL:http://www.securitytracker.com/id/1033337,Assigned (20150410),None (candidate not yet proposed),
38,"Adobe BlazeDS, as used in ColdFusion 10 before Update 18 and 11 before Update 7 and LiveCycle Data Services 3.0.x before 3.0.0.354175, 3.1.x before 3.1.0.354180, 4.5.x before 4.5.1.354177, 4.6.2.x before 4.6.2.354178, and 4.7.x before 4.7.0.354178, allows remote attackers to send HTTP traffic to intranet servers via a crafted XML document, related to a Server-Side Request Forgery (SSRF) issue.",BUGTRAQ:20151123 CVE-2015-5255: SSRF vulnerability in Apache Flex BlazeDS 4.7.1   |   URL:http://www.securityfocus.com/archive/1/archive/1/536958/100/0/threaded   |   MISC:http://packetstormsecurity.com/files/134506/Apache-Flex-BlazeDS-4.7.1-SSRF.html   |   CONFIRM:https://helpx.adobe.com/security/products/coldfusion/apsb15-29.html   |   CONFIRM:https://helpx.adobe.com/security/products/livecycleds/apsb15-30.html   |   CONFIRM:https://h20566.www2.hpe.com/portal/site/hpsc/public/kb/docDisplay?docId=emr_na-c05073670   |   CONFIRM:http://www.vmware.com/security/advisories/VMSA-2015-0008.html   |   HP:HPSBST03568   |   URL:http://marc.info/?l=bugtraq&m=145996963420108&w=2   |   BID:77626   |   URL:http://www.securityfocus.com/bid/77626   |   SECTRACK:1034210   |   URL:http://www.securitytracker.com/id/1034210,Assigned (20150701),None (candidate not yet proposed),
