Number,Description,References,Phase,Votes,Comments
11,"Multiple SQL injection vulnerabilities in MonAlbum 0.8.7 allow remote attackers to execute arbitrary SQL commands via (1) the pc parameter in (a) index.php and (2) pnom, (3) pcourriel, and (4) pcommentaire parameters in (b) image_agrandir.php.",BUGTRAQ:20060331 MonAlbum 0.8.7 SQL Injection   |   URL:http://www.securityfocus.com/archive/1/archive/1/429475/100/0/threaded   |   MISC:http://www.bash-x.net/undef/adv/monalbum.html   |   BID:17327   |   URL:http://www.securityfocus.com/bid/17327   |   VUPEN:ADV-2006-1206   |   URL:http://www.vupen.com/english/advisories/2006/1206   |   SECUNIA:19503   |   URL:http://secunia.com/advisories/19503   |   SREASON:660   |   URL:http://securityreason.com/securityalert/660   |   XF:monalbum-image-imageagrandir-sql-injection(25572)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/25572,Assigned (20060402),None (candidate not yet proposed),
12,"SQL injection vulnerability in slides.php in Eric Gerdes Crafty Syntax Image Gallery (CSIG) (aka PHP thumbnail Photo Gallery) 3.1g and earlier allows remote authenticated users to execute arbitrary SQL commands via the limitquery_s parameter when the $projectid variable is less than 1, which prevents the $limitquery_s from being set within slides.php.",MISC:http://bash-x.net/undef/adv/craftygallery.html   |   MISC:http://bash-x.net/undef/exploits/crappy_syntax.txt   |   MILW0RM:1645   |   URL:http://milw0rm.com/exploits/1645   |   BID:17379   |   URL:http://www.securityfocus.com/bid/17379   |   VUPEN:ADV-2006-1239   |   URL:http://www.vupen.com/english/advisories/2006/1239   |   OSVDB:24386   |   URL:http://www.osvdb.org/24386   |   SECUNIA:19478   |   URL:http://secunia.com/advisories/19478   |   XF:crafty-slides-sql-injection(25654)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/25654,Assigned (20060407),None (candidate not yet proposed),
13,newimage.php in Eric Gerdes Crafty Syntax Image Gallery (CSIG) (aka PHP thumbnail Photo Gallery) 3.1g and earlier allows remote authenticated users to upload and execute arbitrary PHP code via a multipart/form-data POST with a .jpg filename in the fullimage parameter and the ext parameter set to .php.,MISC:http://bash-x.net/undef/adv/craftygallery.html   |   MISC:http://bash-x.net/undef/exploits/crappy_syntax.txt   |   MILW0RM:1645   |   URL:http://milw0rm.com/exploits/1645   |   BID:17379   |   URL:http://www.securityfocus.com/bid/17379   |   VUPEN:ADV-2006-1239   |   URL:http://www.vupen.com/english/advisories/2006/1239   |   OSVDB:24387   |   URL:http://www.osvdb.org/24387   |   SECUNIA:19478   |   URL:http://secunia.com/advisories/19478   |   XF:crafty-http-post-code-execution(25655)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/25655,Assigned (20060407),None (candidate not yet proposed),
14,"The open source version of Open-Xchange 0.8.2 and earlier uses a static default username and password with a valid login shell in the initfile for the ldap-server, which allows remote attackers to access any server where the default has not been changed.",BUGTRAQ:20060526 Wavecon Advisory: Open-Xchange <= 0.8.2 defaultuser with /bin/bash and default password   |   URL:http://www.securityfocus.com/archive/1/archive/1/435198/100/0/threaded   |   MISC:http://www.golem.de/0605/45407.html   |   CONFIRM:http://www.open-xchange.org/bugzilla/show_bug.cgi?id=2815   |   BID:18115   |   URL:http://www.securityfocus.com/bid/18115   |   VUPEN:ADV-2006-2037   |   URL:http://www.vupen.com/english/advisories/2006/2037   |   SECUNIA:20323   |   URL:http://secunia.com/advisories/20323   |   SREASON:1012   |   URL:http://securityreason.com/securityalert/1012   |   XF:openxchange-ldap-default-account(26761)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/26761,Assigned (20060601),None (candidate not yet proposed),
15,"bash-doc 3.2 allows local users to overwrite arbitrary files via a symlink attack on a /tmp/cb#####.? temporary file, related to the (1) aliasconv.sh, (2) aliasconv.bash, and (3) cshtobash scripts.",MLIST:[debian-devel] 20080813 Re: Possible mass bug filing: The possibility of attack with the help of symlinks in some Debian packages   |   URL:http://lists.debian.org/debian-devel/2008/08/msg00347.html   |   MISC:http://uvw.ru/report.sid.txt   |   GENTOO:GLSA-201210-05   |   URL:http://security.gentoo.org/glsa/glsa-201210-05.xml   |   MANDRIVA:MDVSA-2010:004   |   URL:http://www.mandriva.com/security/advisories?name=MDVSA-2010:004   |   REDHAT:RHSA-2011:0261   |   URL:http://www.redhat.com/support/errata/RHSA-2011-0261.html   |   REDHAT:RHSA-2011:1073   |   URL:http://www.redhat.com/support/errata/RHSA-2011-1073.html   |   BID:32733   |   URL:http://www.securityfocus.com/bid/32733   |   SECUNIA:43365   |   URL:http://secunia.com/advisories/43365   |   SECUNIA:51086   |   URL:http://secunia.com/advisories/51086   |   VUPEN:ADV-2011-0414   |   URL:http://www.vupen.com/english/advisories/2011/0414,Assigned (20081208),None (candidate not yet proposed),
16,"The /etc/profile.d/60alias.sh script in the Mandriva bash package for Bash 2.05b, 3.0, 3.2, 3.2.48, and 4.0 enables the --show-control-chars option in LS_OPTIONS, which allows local users to send escape sequences to terminal emulators, or hide the existence of a file, via a crafted filename.",CONFIRM:https://qa.mandriva.com/show_bug.cgi?id=56882   |   MANDRIVA:MDVSA-2010:004   |   URL:http://www.mandriva.com/security/advisories?name=MDVSA-2010:004,Assigned (20091214),None (candidate not yet proposed),
17,"** DISPUTED ** GMXRC.bash in Gromacs 4.5.1 and earlier places a zero-length directory name in the LD_LIBRARY_PATH, which allows local users to gain privileges via a Trojan horse shared library in the current working directory.  NOTE: CVE disputes this issue because the GMXLDLIB value is always added to the beginning of LD_LIBRARY_PATH at a later point in the script.",MISC:https://bugzilla.redhat.com/show_bug.cgi?id=644596   |   FEDORA:FEDORA-2010-17248   |   URL:http://lists.fedoraproject.org/pipermail/package-announce/2010-November/050763.html   |   FEDORA:FEDORA-2010-17256   |   URL:http://lists.fedoraproject.org/pipermail/package-announce/2010-November/050783.html   |   VUPEN:ADV-2010-2971   |   URL:http://www.vupen.com/english/advisories/2010/2971,Assigned (20101019),None (candidate not yet proposed),
18,"Stack-based buffer overflow in lib/sh/eaccess.c in GNU Bash before 4.2 patch 33 might allow local users to bypass intended restricted shell access via a long filename in /dev/fd, which is not properly handled when expanding the /dev/fd prefix.",MLIST:[oss-security] 20120711 CVE Request: Overflow fix in bash 4.2 patch 33   |   URL:http://www.openwall.com/lists/oss-security/2012/07/11/11   |   MLIST:[oss-security] 20120712 Re: CVE Request: Overflow fix in bash 4.2 patch 33   |   URL:http://www.openwall.com/lists/oss-security/2012/07/12/4   |   MLIST:[oss-security] 20120712 Re: CVE Request: Overflow fix in bash 4.2 patch 33   |   URL:http://www.openwall.com/lists/oss-security/2012/07/11/22   |   MISC:http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=681278   |   CONFIRM:ftp://ftp.gnu.org/pub/gnu/bash/bash-4.2-patches/bash42-033   |   GENTOO:GLSA-201210-05   |   URL:http://security.gentoo.org/glsa/glsa-201210-05.xml   |   MANDRIVA:MDVSA-2012:128   |   URL:http://www.mandriva.com/security/advisories?name=MDVSA-2012:128   |   SUSE:openSUSE-SU-2012:0898   |   URL:https://hermes.opensuse.org/messages/15227834   |   BID:54937   |   URL:http://www.securityfocus.com/bid/54937   |   SECUNIA:51086   |   URL:http://secunia.com/advisories/51086   |   XF:bash-devfd-bo(77551)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/77551,Assigned (20120614),None (candidate not yet proposed),
19,"Incomplete blacklist vulnerability in nrpc.c in Nagios Remote Plug-In Executor (NRPE) before 2.14 might allow remote attackers to execute arbitrary shell commands via ""$()"" shell metacharacters, which are processed by bash.",BUGTRAQ:20130221 OSEC-2013-01: nagios metacharacter filtering omission   |   URL:http://seclists.org/bugtraq/2013/Feb/119   |   EXPLOIT-DB:24955   |   URL:http://www.exploit-db.com/exploits/24955   |   MISC:http://www.occamsec.com/vulnerabilities.html#nagios_metacharacter_vulnerability   |   CONFIRM:https://bugzilla.novell.com/show_bug.cgi?id=807241   |   SUSE:openSUSE-SU-2013:0621   |   URL:http://lists.opensuse.org/opensuse-security-announce/2013-04/msg00005.html   |   SUSE:openSUSE-SU-2013:0624   |   URL:http://lists.opensuse.org/opensuse-security-announce/2013-04/msg00006.html,Assigned (20130114),None (candidate not yet proposed),
20,"The Bingo Bash - Free Bingo Casino (aka air.com.bitrhymes.bingo) application 1.31.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",MISC:https://docs.google.com/spreadsheets/d/1t5GXwjw82SyunALVJb2w0zi3FoLRIkfGPc7AMjRF0r4/edit?usp=sharing   |   CERT-VN:VU#582497   |   URL:http://www.kb.cert.org/vuls/id/582497   |   CERT-VN:VU#960369   |   URL:http://www.kb.cert.org/vuls/id/960369,Assigned (20140830),None (candidate not yet proposed),
